Date,Year,Month,MonthName,Quarter,DayOfWeek,DayName,WeekOfYear
1996-07-04,1996,7,July,3,3,Thursday,27
1996-07-05,1996,7,July,3,4,Friday,27
1996-07-08,1996,7,July,3,0,Monday,28
1996-07-09,1996,7,July,3,1,Tuesday,28
1996-07-10,1996,7,July,3,2,Wednesday,28
1996-07-11,1996,7,July,3,3,Thursday,28
1996-07-12,1996,7,July,3,4,Friday,28
1996-07-15,1996,7,July,3,0,Monday,29
1996-07-16,1996,7,July,3,1,Tuesday,29
1996-07-17,1996,7,July,3,2,Wednesday,29
1996-07-18,1996,7,July,3,3,Thursday,29
1996-07-19,1996,7,July,3,4,Friday,29
1996-07-22,1996,7,July,3,0,Monday,30
1996-07-23,1996,7,July,3,1,Tuesday,30
1996-07-24,1996,7,July,3,2,Wednesday,30
1996-07-25,1996,7,July,3,3,Thursday,30
1996-07-26,1996,7,July,3,4,Friday,30
1996-07-29,1996,7,July,3,0,Monday,31
1996-07-30,1996,7,July,3,1,Tuesday,31
1996-07-31,1996,7,July,3,2,Wednesday,31
1996-08-01,1996,8,August,3,3,Thursday,31
1996-08-02,1996,8,August,3,4,Friday,31
1996-08-05,1996,8,August,3,0,Monday,32
1996-08-06,1996,8,August,3,1,Tuesday,32
1996-08-07,1996,8,August,3,2,Wednesday,32
1996-08-08,1996,8,August,3,3,Thursday,32
1996-08-09,1996,8,August,3,4,Friday,32
1996-08-12,1996,8,August,3,0,Monday,33
1996-08-13,1996,8,August,3,1,Tuesday,33
1996-08-14,1996,8,August,3,2,Wednesday,33
1996-08-15,1996,8,August,3,3,Thursday,33
1996-08-16,1996,8,August,3,4,Friday,33
1996-08-19,1996,8,August,3,0,Monday,34
1996-08-20,1996,8,August,3,1,Tuesday,34
1996-08-21,1996,8,August,3,2,Wednesday,34
1996-08-22,1996,8,August,3,3,Thursday,34
1996-08-23,1996,8,August,3,4,Friday,34
1996-08-26,1996,8,August,3,0,Monday,35
1996-08-27,1996,8,August,3,1,Tuesday,35
1996-08-28,1996,8,August,3,2,Wednesday,35
1996-08-29,1996,8,August,3,3,Thursday,35
1996-08-30,1996,8,August,3,4,Friday,35
1996-09-02,1996,9,September,3,0,Monday,36
1996-09-03,1996,9,September,3,1,Tuesday,36
1996-09-04,1996,9,September,3,2,Wednesday,36
1996-09-05,1996,9,September,3,3,Thursday,36
1996-09-06,1996,9,September,3,4,Friday,36
1996-09-09,1996,9,September,3,0,Monday,37
1996-09-10,1996,9,September,3,1,Tuesday,37
1996-09-11,1996,9,September,3,2,Wednesday,37
1996-09-12,1996,9,September,3,3,Thursday,37
1996-09-13,1996,9,September,3,4,Friday,37
1996-09-16,1996,9,September,3,0,Monday,38
1996-09-17,1996,9,September,3,1,Tuesday,38
1996-09-18,1996,9,September,3,2,Wednesday,38
1996-09-19,1996,9,September,3,3,Thursday,38
1996-09-20,1996,9,September,3,4,Friday,38
1996-09-23,1996,9,September,3,0,Monday,39
1996-09-24,1996,9,September,3,1,Tuesday,39
