OrderID,ProductID,UnitPrice,Quantity,Discount,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,TotalAmount,Year,Month,Quarter,DayOfWeek
10248,11,14.0,12,0.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,168.0,1996,7,3,3
10248,42,9.8,10,0.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,98.0,1996,7,3,3
10248,72,34.8,5,0.0,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,174.0,1996,7,3,3
10249,14,18.6,9,0.0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialit ten,Luisenstr. 48,M nster,,44087,Germany,167.4,1996,7,3,4
10249,51,42.4,40,0.0,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialit ten,Luisenstr. 48,M nster,,44087,Germany,1696.0,1996,7,3,4
10250,41,7.7,10,0.0,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,77.0,1996,7,3,0
10250,51,42.4,35,0.15000000596046448,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,1261.4,1996,7,3,0
10250,65,16.8,15,0.15000000596046448,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,214.2,1996,7,3,0
10251,22,16.8,6,0.05000000074505806,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,95.76,1996,7,3,0
10251,57,15.6,15,0.05000000074505806,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,222.3,1996,7,3,0
10251,65,16.8,20,0.0,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,336.0,1996,7,3,0
10252,20,64.8,40,0.05000000074505806,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,2462.4,1996,7,3,1
10252,33,2.0,25,0.05000000074505806,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,47.5,1996,7,3,1
10252,60,27.2,40,0.0,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Supr mes d lices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,1088.0,1996,7,3,1
10253,31,10.0,20,0.0,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,200.0,1996,7,3,2
10253,39,14.4,42,0.0,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,604.8,1996,7,3,2
10253,49,16.0,40,0.0,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Pa o, 67",Rio de Janeiro,RJ,05454-876,Brazil,640.0,1996,7,3,2
10254,24,3.6,15,0.15000000596046448,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,45.9,1996,7,3,3
10254,55,19.2,21,0.15000000596046448,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,342.72,1996,7,3,3
10254,74,8.0,21,0.0,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,168.0,1996,7,3,3
10255,2,15.2,20,0.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Gen ve,,1204,Switzerland,304.0,1996,7,3,4
10255,16,13.9,35,0.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Gen ve,,1204,Switzerland,486.5,1996,7,3,4
10255,36,15.2,25,0.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Gen ve,,1204,Switzerland,380.0,1996,7,3,4
10255,59,44.0,30,0.0,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Gen ve,,1204,Switzerland,1320.0,1996,7,3,4
10256,53,26.2,15,0.0,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,393.0,1996,7,3,0
10256,77,10.4,12,0.0,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,124.8,1996,7,3,0
10257,27,35.1,25,0.0,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,877.5,1996,7,3,1
10257,39,14.4,6,0.0,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,86.4,1996,7,3,1
10257,77,10.4,15,0.0,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist bal,T chira,5022,Venezuela,156.0,1996,7,3,1
10258,2,15.2,50,0.20000000298023224,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,608.0,1996,7,3,2
10258,5,17.0,65,0.20000000298023224,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,884.0,1996,7,3,2
10258,32,25.6,6,0.20000000298023224,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,122.88,1996,7,3,2
10259,21,8.0,10,0.0,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,M xico D.F.,,05022,Mexico,80.0,1996,7,3,3
10259,37,20.8,1,0.0,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,M xico D.F.,,05022,Mexico,20.8,1996,7,3,3
10260,41,7.7,16,0.25,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,Ottilies K seladen,Mehrheimerstr. 369,K ln,,50739,Germany,92.4,1996,7,3,4
10260,57,15.6,50,0.0,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,Ottilies K seladen,Mehrheimerstr. 369,K ln,,50739,Germany,780.0,1996,7,3,4
10260,62,39.4,15,0.25,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,Ottilies K seladen,Mehrheimerstr. 369,K ln,,50739,Germany,443.25,1996,7,3,4
10260,70,12.0,21,0.25,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,Ottilies K seladen,Mehrheimerstr. 369,K ln,,50739,Germany,189.0,1996,7,3,4
10261,21,8.0,20,0.0,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,3.05,Que Del cia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,160.0,1996,7,3,4
10261,35,14.4,20,0.0,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,3.05,Que Del cia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,288.0,1996,7,3,4
10262,5,17.0,12,0.20000000298023224,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,163.2,1996,7,3,0
10262,7,24.0,15,0.0,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,360.0,1996,7,3,0
10262,56,30.4,2,0.0,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,60.8,1996,7,3,0
10263,16,13.9,60,0.25,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,625.5,1996,7,3,1
10263,24,3.6,28,0.0,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,100.8,1996,7,3,1
